VS,Batting, ,Batting Possition,Match Id,Teaminnings,R,B,M,4s,6s,SR
Pakistan VS West Indies,Younis Khan ,c †Ramdin b Taylor,3,ODI # 3608,Pakistan,0,1,3,0,0,0.00
Pakistan VS West Indies,Haris Sohail ,c sub (JL Carter) b Taylor,4,ODI # 3608,Pakistan,0,6,8,0,0,0.00
Pakistan VS West Indies,Misbah-ul-Haq (c),c Gayle b Russell,5,ODI # 3608,Pakistan,7,21,34,1,0,33.33
Pakistan VS West Indies,Sohaib Maqsood ,c Benn b Sammy,6,ODI # 3608,Pakistan,50,66,92,4,1,75.75
Pakistan VS West Indies,Umar Akmal †,c Smith b Russell,7,ODI # 3608,Pakistan,59,71,88,5,1,83.09
Pakistan VS West Indies,Shahid Afridi ,c Holder b Benn,8,ODI # 3608,Pakistan,28,26,50,4,0,107.69
Pakistan VS West Indies,Wahab Riaz ,c †Ramdin b Russell,9,ODI # 3608,Pakistan,3,13,17,0,0,23.07
Pakistan VS West Indies,Sohail Khan ,c †Ramdin b Benn,10,ODI # 3608,Pakistan,1,8,12,0,0,12.50
Pakistan VS West Indies,Mohammad Irfan ,not out ,11,ODI # 3608,Pakistan,2,11,8,0,0,18.18
New Zealand VS England,Ian Bell , b Southee,1,ODI # 3607,England,8,17,18,1,0,47.05
New Zealand VS England,Moeen Ali , b Southee,2,ODI # 3607,England,20,15,31,4,0,133.33
New Zealand VS England,Gary Ballance ,c Williamson b Boult,3,ODI # 3607,England,10,26,46,0,0,38.46
New Zealand VS England,Joe Root ,c Vettori b Milne,4,ODI # 3607,England,46,70,123,3,0,65.71
New Zealand VS England,Eoin Morgan (c),c Milne b Vettori,5,ODI # 3607,England,17,41,51,1,0,41.46
New Zealand VS England,James Taylor , b Southee,6,ODI # 3607,England,0,2,3,0,0,0.00
New Zealand VS England,Jos Buttler †,c †Ronchi b Southee,7,ODI # 3607,England,3,7,8,0,0,42.85
New Zealand VS England,Chris Woakes , b Southee,8,ODI # 3607,England,1,2,3,0,0,50.00
New Zealand VS England,Stuart Broad ,c Vettori b Southee,9,ODI # 3607,England,4,10,10,0,0,40.00
New Zealand VS England,Steven Finn ,c Taylor b Southee,10,ODI # 3607,England,0,8,10,0,0,0.00
New Zealand VS England,James Anderson ,not out ,11,ODI # 3607,England,1,2,5,0,0,50.00
New Zealand VS England,Martin Guptill , b Woakes,1,ODI # 3607,New Zealand,22,22,48,3,0,100.00
New Zealand VS England,Brendon McCullum (c), b Woakes,2,ODI # 3607,New Zealand,77,25,39,8,7,308.00
New Zealand VS England,Kane Williamson ,not out ,3,ODI # 3607,New Zealand,9,22,23,1,0,40.90
New Zealand VS England,Ross Taylor ,not out ,4,ODI # 3607,New Zealand,5,5,14,1,0,100.00
U.A.E. VS Zimbabwe,Amjad Ali ,c Ervine b Chatara,1,ODI # 3606,United Arab Emirates,7,17,23,1,0,41.17
U.A.E. VS Zimbabwe,Andri Berenger ,c †Taylor b Mire,2,ODI # 3606,United Arab Emirates,22,36,46,3,0,61.11
U.A.E. VS Zimbabwe,Krishna Chandran ,c Chigumbura b Mire,3,ODI # 3606,United Arab Emirates,34,63,86,3,0,53.96
U.A.E. VS Zimbabwe,Khurram Khan ,c Williams b Chatara,4,ODI # 3606,United Arab Emirates,45,55,77,6,0,81.81
U.A.E. VS Zimbabwe,Swapnil Patil †,c Chakabva b Williams,5,ODI # 3606,United Arab Emirates,32,38,59,4,0,84.21
U.A.E. VS Zimbabwe,Shaiman Anwar ,c Ervine b Williams,6,ODI # 3606,United Arab Emirates,67,50,59,9,1,134.00
U.A.E. VS Zimbabwe,Rohan Mustafa ,c †Taylor b Chatara,7,ODI # 3606,United Arab Emirates,4,6,10,0,0,66.66
U.A.E. VS Zimbabwe,Amjad Javed ,not out ,8,ODI # 3606,United Arab Emirates,25,19,27,3,1,131.57
U.A.E. VS Zimbabwe,Mohammad Naveed ,not out ,9,ODI # 3606,United Arab Emirates,23,17,23,1,2,135.29
U.A.E. VS Zimbabwe,Sikandar Raza ,c Krishna Chandran b Mohammad Tauqir,1,ODI # 3606,Zimbabwe,46,44,54,6,1,104.54
U.A.E. VS Zimbabwe,Regis Chakabva ,hit wicket b Mohammad Tauqir,2,ODI # 3606,Zimbabwe,35,62,90,4,0,56.45
U.A.E. VS Zimbabwe,Hamilton Masakadza ,lbw b Amjad Javed,3,ODI # 3606,Zimbabwe,1,4,9,0,0,25.00
U.A.E. VS Zimbabwe,Brendan Taylor †,lbw b Nasir Aziz,4,ODI # 3606,Zimbabwe,47,44,47,5,1,106.81
U.A.E. VS Zimbabwe,Sean Williams ,not out ,5,ODI # 3606,Zimbabwe,76,65,110,7,1,116.92
U.A.E. VS Zimbabwe,Solomon Mire ,c †Patil b Mohammad Naveed,6,ODI # 3606,Zimbabwe,9,22,21,0,0,40.90
U.A.E. VS Zimbabwe,Craig Ervine ,c & b Krishna Chandran,7,ODI # 3606,Zimbabwe,42,32,46,2,2,131.25
U.A.E. VS Zimbabwe,Elton Chigumbura (c),not out ,8,ODI # 3606,Zimbabwe,14,15,23,2,0,93.33
Afghanistan VS Bangladesh,Anamul Haque ,lbw b Mirwais Ashraf,1,ODI # 3605,Bangladesh,29,55,66,4,0,52.72
Afghanistan VS Bangladesh,Tamim Iqbal ,c †Afsar Zazai b Mirwais Ashraf,2,ODI # 3605,Bangladesh,19,42,58,2,0,45.23
Afghanistan VS Bangladesh,Soumya Sarkar ,lbw b Shapoor Zadran,3,ODI # 3605,Bangladesh,28,25,51,3,1,112.00
Afghanistan VS Bangladesh,Mahmudullah ,c †Afsar Zazai b Shapoor Zadran,4,ODI # 3605,Bangladesh,23,46,55,0,0,50.00
Afghanistan VS Bangladesh,Shakib Al Hasan , b Hamid Hassan,5,ODI # 3605,Bangladesh,63,51,86,6,1,123.52
Afghanistan VS Bangladesh,Mushfiqur Rahim †,c Samiullah Shinwari b Mohammad Nabi,6,ODI # 3605,Bangladesh,71,56,83,6,1,126.78
Afghanistan VS Bangladesh,Sabbir Rahman , b Hamid Hassan,7,ODI # 3605,Bangladesh,3,8,7,0,0,37.50
Afghanistan VS Bangladesh,Mashrafe Mortaza (c), b Aftab Alam,8,ODI # 3605,Bangladesh,14,9,12,3,0,155.55
Afghanistan VS Bangladesh,Mominul Haque ,run out (†Afsar Zazai),9,ODI # 3605,Bangladesh,3,3,6,0,0,100.00
Afghanistan VS Bangladesh,Rubel Hossain ,not out ,10,ODI # 3605,Bangladesh,0,2,6,0,0,0.00
Afghanistan VS Bangladesh,Taskin Ahmed , b Aftab Alam,11,ODI # 3605,Bangladesh,1,3,5,0,0,33.33
Afghanistan VS Bangladesh,Javed Ahmadi ,c & b Mashrafe Mortaza,1,ODI # 3605,Afghanistan,1,2,4,0,0,50.00
Afghanistan VS Bangladesh,Afsar Zazai †,lbw b Rubel Hossain,2,ODI # 3605,Afghanistan,1,5,7,0,0,20.00
Afghanistan VS Bangladesh,Nawroz Mangal ,c Rubel Hossain b Mahmudullah,3,ODI # 3605,Afghanistan,27,57,88,1,0,47.36
Afghanistan VS Bangladesh,Asghar Afghan ,c Mahmudullah b Mashrafe Mortaza,4,ODI # 3605,Afghanistan,1,7,9,0,0,14.28
Afghanistan VS Bangladesh,Samiullah Shinwari ,run out (Sabbir Rahman/†Mushfiqur Rahim),5,ODI # 3605,Afghanistan,42,75,92,2,0,56.00
Afghanistan VS Bangladesh,Mohammad Nabi (c),c Soumya Sarkar b Mashrafe Mortaza,6,ODI # 3605,Afghanistan,44,43,65,5,0,102.32
Afghanistan VS Bangladesh,Najibullah Zadran ,lbw b Shakib Al Hasan,7,ODI # 3605,Afghanistan,17,34,49,1,0,50.00
Afghanistan VS Bangladesh,Mirwais Ashraf ,c Sabbir Rahman b Shakib Al Hasan,8,ODI # 3605,Afghanistan,10,15,17,0,1,66.66
Afghanistan VS Bangladesh,Aftab Alam ,run out (Soumya Sarkar/†Mushfiqur Rahim),9,ODI # 3605,Afghanistan,14,12,27,2,1,116.66
Afghanistan VS Bangladesh,Hamid Hassan ,c Anamul Haque b Taskin Ahmed,10,ODI # 3605,Afghanistan,0,5,5,0,0,0.00
Afghanistan VS Bangladesh,Shapoor Zadran ,not out ,11,ODI # 3605,Afghanistan,2,2,7,0,0,100.00
New Zealand VS Scotland,Kyle Coetzer ,c Elliott b Southee,1,ODI # 3604,Scotland,1,10,20,0,0,10.00
New Zealand VS Scotland,Calum MacLeod ,lbw b Boult,2,ODI # 3604,Scotland,0,1,5,0,0,0.00
New Zealand VS Scotland,Hamish Gardiner ,lbw b Boult,3,ODI # 3604,Scotland,0,1,2,0,0,0.00
New Zealand VS Scotland,Matt Machan ,c McCullum b Anderson,4,ODI # 3604,Scotland,56,79,111,7,1,70.88
New Zealand VS Scotland,Preston Mommsen (c),lbw b Southee,5,ODI # 3604,Scotland,0,1,3,0,0,0.00
New Zealand VS Scotland,Richie Berrington ,c Milne b Anderson,6,ODI # 3604,Scotland,50,80,104,4,1,62.50
New Zealand VS Scotland,Matthew Cross †,c †Ronchi b Anderson,7,ODI # 3604,Scotland,14,18,28,2,0,77.77
New Zealand VS Scotland,Josh Davey ,not out ,8,ODI # 3604,Scotland,11,19,36,1,0,57.89
New Zealand VS Scotland,Rob Taylor ,st †Ronchi b Vettori,9,ODI # 3604,Scotland,4,6,6,0,0,66.66
New Zealand VS Scotland,Majid Haq ,c Taylor b Vettori,10,ODI # 3604,Scotland,0,2,6,0,0,0.00
New Zealand VS Scotland,Iain Wardlaw ,lbw b Vettori,11,ODI # 3604,Scotland,0,1,4,0,0,0.00
New Zealand VS Scotland,Martin Guptill ,c †Cross b Wardlaw,1,ODI # 3604,New Zealand,17,14,10,4,0,121.42
New Zealand VS Scotland,Brendon McCullum (c),c †Cross b Wardlaw,2,ODI # 3604,New Zealand,15,12,28,3,0,125.00
New Zealand VS Scotland,Kane Williamson ,c †Cross b Davey,3,ODI # 3604,New Zealand,38,45,60,6,0,84.44
New Zealand VS Scotland,Ross Taylor ,c Taylor b Haq,4,ODI # 3604,New Zealand,9,14,15,1,0,64.28
New Zealand VS Scotland,Grant Elliott ,c †Cross b Wardlaw,5,ODI # 3604,New Zealand,29,31,41,5,0,93.54
New Zealand VS Scotland,Corey Anderson ,c Wardlaw b Davey,6,ODI # 3604,New Zealand,11,16,25,1,0,68.75
New Zealand VS Scotland,Luke Ronchi †,c Gardiner b Davey,7,ODI # 3604,New Zealand,12,10,12,2,0,120.00
New Zealand VS Scotland,Daniel Vettori ,not out ,8,ODI # 3604,New Zealand,8,4,9,1,0,200.00
New Zealand VS Scotland,Adam Milne ,not out ,9,ODI # 3604,New Zealand,1,3,6,0,0,33.33
Ireland VS West Indies,Dwayne Smith ,c Mooney b KJ O'Brien,1,ODI # 3603,West Indies,18,24,29,3,0,75.00
Ireland VS West Indies,Chris Gayle ,c KJ O'Brien b Dockrell,2,ODI # 3603,West Indies,36,65,79,3,1,55.38
Ireland VS West Indies,Darren Bravo ,run out (McBrine),3,ODI # 3603,West Indies,0,0,4,0,0,-
Ireland VS West Indies,Marlon Samuels ,lbw b Dockrell,4,ODI # 3603,West Indies,21,41,49,1,1,51.21
Ireland VS West Indies,Denesh Ramdin †,lbw b Dockrell,5,ODI # 3603,West Indies,1,6,12,0,0,16.66
Ireland VS West Indies,Lendl Simmons ,c Dockrell b Sorensen,6,ODI # 3603,West Indies,102,84,124,9,5,121.42
Ireland VS West Indies,Daren Sammy ,c Dockrell b Mooney,7,ODI # 3603,West Indies,89,67,88,9,4,132.83
Ireland VS West Indies,Andre Russell ,not out ,8,ODI # 3603,West Indies,27,13,29,3,1,207.69
Ireland VS West Indies,Jason Holder (c),not out ,9,ODI # 3603,West Indies,0,0,2,0,0,-
Ireland VS West Indies,William Porterfield (c),c †Ramdin b Gayle,1,ODI # 3603,Ireland,23,43,57,1,1,53.48
Ireland VS West Indies,Paul Stirling ,c †Ramdin b Samuels,2,ODI # 3603,Ireland,92,84,115,9,3,109.52
Ireland VS West Indies,Ed Joyce ,c Bravo b Taylor,3,ODI # 3603,Ireland,84,67,111,10,2,125.37
Ireland VS West Indies,Niall O'Brien ,not out ,4,ODI # 3603,Ireland,79,60,90,11,0,131.66
Ireland VS West Indies,Andy Balbirnie ,c Bravo b Taylor,5,ODI # 3603,Ireland,9,9,13,2,0,100.00
Ireland VS West Indies,Gary Wilson †,c Gayle b Taylor,6,ODI # 3603,Ireland,1,6,12,0,0,16.66
Ireland VS West Indies,Kevin O'Brien ,run out (Smith/Roach),7,ODI # 3603,Ireland,0,1,3,0,0,0.00
Ireland VS West Indies,John Mooney ,not out ,8,ODI # 3603,Ireland,6,5,9,1,0,120.00
India VS Pakistan,Rohit Sharma ,c Misbah-ul-Haq b Sohail Khan,1,ODI # 3602,India,15,20,35,2,0,75.00
India VS Pakistan,Shikhar Dhawan ,run out (Misbah-ul-Haq),2,ODI # 3602,India,73,76,136,7,1,96.05
India VS Pakistan,Virat Kohli ,c †Umar Akmal b Sohail Khan,3,ODI # 3602,India,107,126,168,8,0,84.92
India VS Pakistan,Suresh Raina ,c Haris Sohail b Sohail Khan,4,ODI # 3602,India,74,56,78,5,3,132.14
India VS Pakistan,MS Dhoni (c)†,c Misbah-ul-Haq b Sohail Khan,5,ODI # 3602,India,18,13,22,1,1,138.46
India VS Pakistan,Ravindra Jadeja , b Wahab Riaz,6,ODI # 3602,India,3,5,7,0,0,60.00
India VS Pakistan,Ajinkya Rahane , b Sohail Khan,7,ODI # 3602,India,0,1,3,0,0,0.00
India VS Pakistan,Ravichandran Ashwin ,not out ,8,ODI # 3602,India,1,1,4,0,0,100.00
India VS Pakistan,Mohammed Shami ,not out ,9,ODI # 3602,India,3,3,2,0,0,100.00
India VS Pakistan,Ahmed Shehzad ,c Jadeja b Yadav,1,ODI # 3602,Pakistan,47,73,95,5,0,64.38
India VS Pakistan,Younis Khan ,c †Dhoni b Mohammed Shami,2,ODI # 3602,Pakistan,6,10,13,1,0,60.00
India VS Pakistan,Haris Sohail ,c Raina b Ashwin,3,ODI # 3602,Pakistan,36,48,60,3,0,75.00
India VS Pakistan,Misbah-ul-Haq (c),c Rahane b Mohammed Shami,4,ODI # 3602,Pakistan,76,84,118,9,1,90.47
India VS Pakistan,Sohaib Maqsood ,c Raina b Yadav,5,ODI # 3602,Pakistan,0,2,1,0,0,0.00
India VS Pakistan,Umar Akmal †,c †Dhoni b Jadeja,6,ODI # 3602,Pakistan,0,4,5,0,0,0.00
India VS Pakistan,Shahid Afridi ,c Kohli b Mohammed Shami,7,ODI # 3602,Pakistan,22,22,39,1,1,100.00
India VS Pakistan,Wahab Riaz ,c †Dhoni b Mohammed Shami,8,ODI # 3602,Pakistan,4,2,2,1,0,200.00
India VS Pakistan,Yasir Shah ,c Yadav b MM Sharma,9,ODI # 3602,Pakistan,13,23,32,1,0,56.52
India VS Pakistan,Sohail Khan ,c Yadav b MM Sharma,10,ODI # 3602,Pakistan,7,10,21,1,0,70.00
India VS Pakistan,Mohammad Irfan ,not out ,11,ODI # 3602,Pakistan,1,5,6,0,0,20.00
South Africa VS Zimbabwe,Quinton de Kock †,c Ervine b Chatara,1,ODI # 3601,South Africa,7,16,16,1,0,43.75
South Africa VS Zimbabwe,Hashim Amla , b Panyangara,2,ODI # 3601,South Africa,11,26,36,1,0,42.30
South Africa VS Zimbabwe,Faf du Plessis ,c †Taylor b Chigumbura,3,ODI # 3601,South Africa,24,32,60,0,1,75.00
South Africa VS Zimbabwe,AB de Villiers (c),c Ervine b Kamungozi,4,ODI # 3601,South Africa,25,36,53,1,1,69.44
South Africa VS Zimbabwe,David Miller ,not out ,5,ODI # 3601,South Africa,138,92,133,7,9,150.00
South Africa VS Zimbabwe,Jean-Paul Duminy ,not out ,6,ODI # 3601,South Africa,115,100,119,9,3,115.00
South Africa VS Zimbabwe,Chamu Chibhabha ,c Duminy b Imran Tahir,1,ODI # 3601,Zimbabwe,64,82,93,10,0,78.04
South Africa VS Zimbabwe,Sikandar Raza , b Philander,2,ODI # 3601,Zimbabwe,5,13,27,1,0,38.46
South Africa VS Zimbabwe,Hamilton Masakadza ,c Amla b Imran Tahir,3,ODI # 3601,Zimbabwe,80,74,98,8,2,108.10
South Africa VS Zimbabwe,Brendan Taylor †,c Philander b Morkel,4,ODI # 3601,Zimbabwe,40,40,51,4,1,100.00
South Africa VS Zimbabwe,Sean Williams ,c †de Kock b Duminy,5,ODI # 3601,Zimbabwe,8,13,26,1,0,61.53
South Africa VS Zimbabwe,Craig Ervine ,c de Villiers b Steyn,6,ODI # 3601,Zimbabwe,13,21,29,0,1,61.90
South Africa VS Zimbabwe,Elton Chigumbura (c),run out (de Villiers),7,ODI # 3601,Zimbabwe,8,7,13,0,1,114.28
South Africa VS Zimbabwe,Solomon Mire ,c de Villiers b Philander,8,ODI # 3601,Zimbabwe,27,25,28,2,2,108.00
South Africa VS Zimbabwe,Tinashe Panyangara ,c de Villiers b Imran Tahir,9,ODI # 3601,Zimbabwe,4,4,3,1,0,100.00
South Africa VS Zimbabwe,Tendai Chatara ,c & b Morkel,10,ODI # 3601,Zimbabwe,6,11,21,1,0,54.54
South Africa VS Zimbabwe,Tafadzwa Kamungozi ,not out ,11,ODI # 3601,Zimbabwe,0,0,4,0,0,-
Australia VS England,David Warner , b Broad,1,ODI # 3600,Australia,22,18,34,3,0,122.22
Australia VS England,Aaron Finch ,run out (Morgan),2,ODI # 3600,Australia,135,128,158,12,3,105.46
Australia VS England,Shane Watson ,c †Buttler b Broad,3,ODI # 3600,Australia,0,1,1,0,0,0.00
Australia VS England,Steven Smith , b Woakes,4,ODI # 3600,Australia,5,9,14,1,0,55.55
Australia VS England,George Bailey (c), b Finn,5,ODI # 3600,Australia,55,69,113,3,0,79.71
Australia VS England,Glenn Maxwell ,c Root b Finn,6,ODI # 3600,Australia,66,40,63,11,0,165.00
Australia VS England,Mitchell Marsh ,c Root b Finn,7,ODI # 3600,Australia,23,20,31,3,0,115.00
Australia VS England,Brad Haddin †,c Broad b Finn,8,ODI # 3600,Australia,31,14,23,5,0,221.42
Australia VS England,Mitchell Johnson ,c Anderson b Finn,9,ODI # 3600,Australia,0,1,3,0,0,0.00
Australia VS England,Mitchell Starc ,not out ,10,ODI # 3600,Australia,0,0,1,0,0,-
Australia VS England,Moeen Ali ,c Bailey b Starc,1,ODI # 3600,England,10,13,20,2,0,76.92
Australia VS England,Ian Bell ,c Starc b Marsh,2,ODI # 3600,England,36,45,63,4,0,80.00
Australia VS England,Gary Ballance ,c Finch b Marsh,3,ODI # 3600,England,10,13,23,2,0,76.92
Australia VS England,Joe Root ,c †Haddin b Marsh,4,ODI # 3600,England,5,12,20,0,0,41.66
Australia VS England,Eoin Morgan (c),c †Haddin b Marsh,5,ODI # 3600,England,0,6,24,0,0,0.00
Australia VS England,James Taylor ,not out ,6,ODI # 3600,England,98,90,126,11,2,108.88
Australia VS England,Jos Buttler †,c Smith b Marsh,7,ODI # 3600,England,10,12,11,1,0,83.33
Australia VS England,Chris Woakes ,c Smith b Johnson,8,ODI # 3600,England,37,42,54,2,0,88.09
Australia VS England,Stuart Broad , b Starc,9,ODI # 3600,England,0,1,3,0,0,0.00
Australia VS England,Steven Finn ,c & b Johnson,10,ODI # 3600,England,1,6,4,0,0,16.66
Australia VS England,James Anderson ,run out (Maxwell),11,ODI # 3600,England,8,11,26,1,0,72.72
New Zealand VS Sri Lanka,Martin Guptill ,c †Sangakkara b Lakmal,1,ODI # 3599,New Zealand,49,62,94,5,0,79.03
New Zealand VS Sri Lanka,Brendon McCullum (c),c Mendis b Herath,2,ODI # 3599,New Zealand,65,49,68,10,1,132.65
New Zealand VS Sri Lanka,Kane Williamson ,c Karunaratne b Mendis,3,ODI # 3599,New Zealand,57,65,70,5,1,87.69
New Zealand VS Sri Lanka,Ross Taylor ,st †Sangakkara b Mendis,4,ODI # 3599,New Zealand,14,28,49,0,0,50.00
New Zealand VS Sri Lanka,Grant Elliott ,c Thirimanne b Lakmal,5,ODI # 3599,New Zealand,29,34,53,2,0,85.29
New Zealand VS Sri Lanka,Corey Anderson ,c Lakmal b Kulasekara,6,ODI # 3599,New Zealand,75,46,77,8,2,163.04
New Zealand VS Sri Lanka,Luke Ronchi †,not out ,7,ODI # 3599,New Zealand,29,19,29,4,0,152.63
New Zealand VS Sri Lanka,Lahiru Thirimanne , b Boult,1,ODI # 3599,Sri Lanka,65,60,90,8,0,108.33
New Zealand VS Sri Lanka,Tillakaratne Dilshan ,c & b Vettori,2,ODI # 3599,Sri Lanka,24,41,50,2,0,58.53
New Zealand VS Sri Lanka,Kumar Sangakkara †,lbw b Boult,3,ODI # 3599,Sri Lanka,39,38,48,5,0,102.63
New Zealand VS Sri Lanka,Mahela Jayawardene ,c †Ronchi b Vettori,4,ODI # 3599,Sri Lanka,0,4,3,0,0,0.00
New Zealand VS Sri Lanka,Dimuth Karunaratne , b Milne,5,ODI # 3599,Sri Lanka,14,21,32,0,0,66.66
New Zealand VS Sri Lanka,Angelo Mathews (c),c Vettori b Southee,6,ODI # 3599,Sri Lanka,46,52,80,5,0,88.46
New Zealand VS Sri Lanka,Jeevan Mendis ,c †Ronchi b Milne,7,ODI # 3599,Sri Lanka,4,4,5,1,0,100.00
New Zealand VS Sri Lanka,Nuwan Kulasekara ,c Elliott b Anderson,8,ODI # 3599,Sri Lanka,10,21,32,1,0,47.61
New Zealand VS Sri Lanka,Rangana Herath ,c Milne b Anderson,9,ODI # 3599,Sri Lanka,13,19,41,2,0,68.42
New Zealand VS Sri Lanka,Lasith Malinga ,c †Ronchi b Southee,10,ODI # 3599,Sri Lanka,0,1,4,0,0,0.00
New Zealand VS Sri Lanka,Suranga Lakmal ,not out ,11,ODI # 3599,Sri Lanka,7,17,21,0,0,41.17
England VS New Zealand,Martin Guptill ,lbw b Woakes,1,ODI # 4192,New Zealand,19,18,30,2,1,105.55
England VS New Zealand,Henry Nicholls , b Plunkett,2,ODI # 4192,New Zealand,55,77,123,4,0,71.42
England VS New Zealand,Kane Williamson (c),c †Buttler b Plunkett,3,ODI # 4192,New Zealand,30,53,77,2,0,56.60
England VS New Zealand,Ross Taylor ,lbw b Wood,4,ODI # 4192,New Zealand,15,31,47,0,0,48.38
England VS New Zealand,Tom Latham †,c sub (JM Vince) b Woakes,5,ODI # 4192,New Zealand,47,56,104,2,1,83.92
England VS New Zealand,James Neesham ,c Root b Plunkett,6,ODI # 4192,New Zealand,19,25,28,3,0,76.00
England VS New Zealand,Colin de Grandhomme ,c sub (JM Vince) b Woakes,7,ODI # 4192,New Zealand,16,28,38,0,0,57.14
England VS New Zealand,Mitchell Santner ,not out ,8,ODI # 4192,New Zealand,5,9,19,0,0,55.55
England VS New Zealand,Matt Henry , b Archer,9,ODI # 4192,New Zealand,4,2,7,1,0,200.00
England VS New Zealand,Trent Boult ,not out ,10,ODI # 4192,New Zealand,1,2,3,0,0,50.00
England VS New Zealand,Jason Roy ,c †Latham b Henry,1,ODI # 4192,England,17,20,24,3,0,85.00
England VS New Zealand,Jonny Bairstow , b Ferguson,2,ODI # 4192,England,36,55,79,7,0,65.45
England VS New Zealand,Joe Root ,c †Latham b de Grandhomme,3,ODI # 4192,England,7,30,40,0,0,23.33
England VS New Zealand,Eoin Morgan (c),c Ferguson b Neesham,4,ODI # 4192,England,9,22,34,0,0,40.90
England VS New Zealand,Ben Stokes ,not out ,5,ODI # 4192,England,84,98,147,5,2,85.71
England VS New Zealand,Jos Buttler †,c sub (TG Southee) b Ferguson,6,ODI # 4192,England,59,60,94,6,0,98.33
England VS New Zealand,Chris Woakes ,c †Latham b Ferguson,7,ODI # 4192,England,2,4,8,0,0,50.00
England VS New Zealand,Liam Plunkett ,c Boult b Neesham,8,ODI # 4192,England,10,10,13,1,0,100.00
England VS New Zealand,Jofra Archer , b Neesham,9,ODI # 4192,England,0,1,5,0,0,0.00
England VS New Zealand,Adil Rashid ,run out (Santner/Boult),10,ODI # 4192,England,0,0,7,0,0,-
England VS New Zealand,Mark Wood ,run out (Neesham/Boult),11,ODI # 4192,England,0,0,3,0,0,-
England VS Australia,David Warner ,c Bairstow b Woakes,1,ODI # 4191,Australia,9,11,14,2,0,81.81
England VS Australia,Aaron Finch (c),lbw b Archer,2,ODI # 4191,Australia,0,1,6,0,0,0.00
England VS Australia,Steven Smith ,run out (†Buttler),3,ODI # 4191,Australia,85,119,201,6,0,71.42
England VS Australia,Peter Handscomb , b Woakes,4,ODI # 4191,Australia,4,12,15,0,0,33.33
England VS Australia,Alex Carey †,c sub (JM Vince) b Rashid,5,ODI # 4191,Australia,46,70,94,4,0,65.71
England VS Australia,Marcus Stoinis ,lbw b Rashid,6,ODI # 4191,Australia,0,2,4,0,0,0.00
England VS Australia,Glenn Maxwell ,c Morgan b Archer,7,ODI # 4191,Australia,22,23,29,2,1,95.65
England VS Australia,Pat Cummins ,c Root b Rashid,8,ODI # 4191,Australia,6,10,11,0,0,60.00
England VS Australia,Mitchell Starc ,c †Buttler b Woakes,9,ODI # 4191,Australia,29,36,45,1,1,80.55
England VS Australia,Jason Behrendorff , b Wood,10,ODI # 4191,Australia,1,4,10,0,0,25.00
England VS Australia,Nathan Lyon ,not out ,11,ODI # 4191,Australia,5,6,8,0,0,83.33
England VS Australia,Jason Roy ,c †Carey b Cummins,1,ODI # 4191,England,85,65,99,9,5,130.76
England VS Australia,Jonny Bairstow ,lbw b Starc,2,ODI # 4191,England,34,43,88,5,0,79.06
England VS Australia,Joe Root ,not out ,3,ODI # 4191,England,49,46,67,8,0,106.52
England VS Australia,Eoin Morgan (c),not out ,4,ODI # 4191,England,45,39,55,8,0,115.38
India VS New Zealand,Martin Guptill ,c Kohli b Bumrah,1,ODI # 4190,New Zealand,1,14,15,0,0,7.14
India VS New Zealand,Henry Nicholls , b Jadeja,2,ODI # 4190,New Zealand,28,51,87,2,0,54.90
India VS New Zealand,Kane Williamson (c),c Jadeja b Chahal,3,ODI # 4190,New Zealand,67,95,137,6,0,70.52
India VS New Zealand,Ross Taylor ,run out (Jadeja),4,ODI # 4190,New Zealand,74,90,130,3,1,82.22
India VS New Zealand,James Neesham ,c Karthik b Pandya,5,ODI # 4190,New Zealand,12,18,28,1,0,66.66
India VS New Zealand,Colin de Grandhomme ,c †Dhoni b Kumar,6,ODI # 4190,New Zealand,16,10,19,2,0,160.00
India VS New Zealand,Tom Latham †,c Jadeja b Kumar,7,ODI # 4190,New Zealand,10,11,22,0,0,90.90
India VS New Zealand,Mitchell Santner ,not out ,8,ODI # 4190,New Zealand,9,6,13,1,0,150.00
India VS New Zealand,Matt Henry ,c Kohli b Kumar,9,ODI # 4190,New Zealand,1,2,6,0,0,50.00
India VS New Zealand,Trent Boult ,not out ,10,ODI # 4190,New Zealand,3,3,6,0,0,100.00
India VS New Zealand,KL Rahul ,c †Latham b Henry,1,ODI # 4190,India,1,7,18,0,0,14.28
India VS New Zealand,Rohit Sharma ,c †Latham b Henry,2,ODI # 4190,India,1,4,7,0,0,25.00
India VS New Zealand,Virat Kohli (c),lbw b Boult,3,ODI # 4190,India,1,6,8,0,0,16.66
India VS New Zealand,Rishabh Pant ,c de Grandhomme b Santner,4,ODI # 4190,India,32,56,89,4,0,57.14
India VS New Zealand,Dinesh Karthik ,c Neesham b Henry,5,ODI # 4190,India,6,25,29,1,0,24.00
India VS New Zealand,Hardik Pandya ,c Williamson b Santner,6,ODI # 4190,India,32,62,81,2,0,51.61
India VS New Zealand,MS Dhoni †,run out (Guptill),7,ODI # 4190,India,50,72,114,1,1,69.44
India VS New Zealand,Ravindra Jadeja ,c Williamson b Boult,8,ODI # 4190,India,77,59,84,4,4,130.50
India VS New Zealand,Bhuvneshwar Kumar , b Ferguson,9,ODI # 4190,India,0,1,10,0,0,0.00
