VS,Match Id,Bowling,O,Teaminnings,M,R,W,ECON,0s,4s,6s,WD,NB
East Africa VS New Zealand,ODI # 20,Brian McKechnie,12,East Africa,2,39,0,3.25,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Dayle Hadlee,12,East Africa,1,21,3,1.75,-,-,-,0,0
East Africa VS New Zealand,ODI # 20,Hedley Howarth,12,East Africa,3,29,3,2.41,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Naseer Malik,12,Australia,2,37,2,3.08,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Asif Masood,12,Australia,0,50,1,4.16,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Sarfraz Nawaz,12,Australia,0,63,1,5.25,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Asif Iqbal,12,Australia,0,58,1,4.83,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Imran Khan,10,Australia,0,44,2,4.40,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Wasim Raja,2,Australia,0,13,0,6.50,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Dennis Lillee,12,Pakistan,2,34,5,2.83,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Jeff Thomson,8,Pakistan,2,25,1,3.12,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Max Walker,12,Pakistan,3,32,2,2.66,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Ashley Mallett,12,Pakistan,1,49,1,4.08,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Doug Walters,6,Pakistan,0,29,1,4.83,-,-,-,0,0
Australia VS Pakistan,ODI # 21,Greg Chappell,3,Pakistan,0,17,0,5.66,-,-,-,0,0
Sri Lanka VS West Indies,ODI # 22,Andy Roberts,12,Sri Lanka,5,16,2,1.33,-,-,-,0,0
Sri Lanka VS West Indies,ODI # 22,Bernard Julien,12,Sri Lanka,3,20,4,1.66,-,-,-,0,0
Sri Lanka VS West Indies,ODI # 22,Keith Boyce,8,Sri Lanka,1,22,3,2.75,-,-,-,0,0
Sri Lanka VS West Indies,ODI # 22,Lance Gibbs,4,Sri Lanka,0,17,0,4.25,-,-,-,0,0
Sri Lanka VS West Indies,ODI # 22,Vanburn Holder,1.2,Sri Lanka,0,2,1,1.50,-,-,-,0,0
Sri Lanka VS West Indies,ODI # 22,Tony Opatha,4,West Indies,0,19,0,4.75,-,-,-,0,0
