Player,Runs,Average Runs,Strike Rate,Centuries,Half Centuries,Highest Run,No. of Balls,Average Balls Faced
Bryan Strang,3.0,1.5,11.54,0,0,3.0,15.0,8
Burton van Rooi,26.0,8.67,68.28,0,0,17.0,38.0,13
Calum MacLeod,48.0,8.0,55.8,0,0,22.0,63.0,11
Cameron Cuffy,1.0,1.0,12.5,0,0,1.0,8.0,8
Cameron Green,63.0,21.0,67.7,0,0,47.0,83.0,28
Cameron White,70.0,11.67,67.55,0,0,22.0,113.0,19
Carl Hooper,261.0,14.5,57.4,0,1,63.0,369.0,21
Carlisle Best,23.0,11.5,46.66,0,0,18.0,45.0,23
Carlos Brathwaite,154.0,25.67,117.37,1,1,101.0,145.0,25
Cecil Marshall,10.0,5.0,26.05,0,0,8.0,41.0,21
Chamara Kapugedera,3.0,1.5,43.33,0,0,2.0,8.0,4
Chamara Silva,427.0,30.5,82.76,0,5,64.0,562.0,41
Chamika Karunaratne,8.0,4.0,26.73,0,0,6.0,28.0,14
Chaminda Vaas,219.0,12.17,76.88,0,0,29.0,296.0,17
Champaka Ramanayake,25.0,4.17,98.21,0,0,12.0,65.0,11
Chamu Chibhabha,125.0,17.86,49.55,0,1,64.0,217.0,31
Chandika Hathurusinghe,26.0,8.67,45.6,0,0,16.0,63.0,21
Chandrakant Pandit,24.0,24.0,80.0,0,0,24.0,30.0,30
Charith Asalanka,288.0,36.0,71.4,1,2,108.0,338.0,43
Charl Langeveldt,16.0,4.0,24.81,0,0,9.0,57.0,15
Charles Baksh,0.0,0.0,0.0,0,0,0.0,6.0,6
Charles Coventry,18.0,6.0,32.78,0,0,14.0,36.0,12
Charlie Lock,8.0,2.67,38.48,0,0,5.0,20.0,7
Chetan Sharma,0.0,0.0,0.0,0,0,0.0,1.0,1
Chris Broad,67.0,22.33,39.27,0,0,36.0,150.0,50
Chris Cairns,565.0,23.54,80.28,0,3,60.0,684.0,29
Chris Gayle,1186.0,34.88,77.17,2,8,215.0,1310.0,39
Chris Harris,431.0,21.55,68.31,1,1,130.0,626.0,32
Chris Jordan,0.0,0.0,0.0,0,0,0.0,1.0,1
Chris Lewis,81.0,13.5,127.08,0,0,33.0,52.0,9
Chris Morris,74.0,18.5,117.31,0,0,42.0,61.0,16
Chris Mpofu,7.0,1.4,23.64,0,0,3.0,31.0,7
Chris Old,91.0,13.0,62.3,0,1,51.0,76.0,11
Chris Tavaré,212.0,30.29,47.6,0,1,58.0,432.0,62
Chris Tremlett,3.0,3.0,42.85,0,0,3.0,7.0,7
Chris Woakes,355.0,15.43,87.57,0,1,51.0,398.0,18
Christopher Chappell,38.0,12.67,27.12,0,0,19.0,143.0,48
Clay Smith,0.0,0.0,0.0,0,0,0.0,5.0,5
Clive Lloyd,291.0,29.1,69.89,0,2,73.0,378.0,38
Colin Ackermann,216.0,24.0,71.73,0,1,69.0,263.0,30
Colin Croft,0.0,0.0,0.0,0,0,0.0,2.0,2
Colin Ingram,46.0,46.0,106.97,0,0,46.0,43.0,43
Colin Munro,125.0,20.83,89.37,0,1,58.0,128.0,22
Colin Smith,85.0,28.33,66.57,0,1,51.0,129.0,43
Colin de Grandhomme,190.0,23.75,105.0,0,2,64.0,189.0,24
Collins Obuya,362.0,24.13,61.87,0,2,98.0,528.0,36
Collis King,132.0,44.0,110.99,0,1,86.0,109.0,37
Corey Anderson,231.0,28.88,90.84,0,2,75.0,213.0,27
Corey Collymore,22.0,3.67,100.0,0,0,12.0,23.0,4
Cornelius Henry,6.0,3.0,39.39,0,0,5.0,14.0,7
Courtney Browne,64.0,16.0,73.89,0,0,26.0,99.0,25
Courtney Walsh,37.0,4.62,60.27,0,0,9.0,49.0,7
Craig Ervine,390.0,32.5,76.53,0,4,85.0,449.0,38
Craig Evans,92.0,18.4,84.38,0,0,39.0,112.0,23
Craig Matthews,17.0,8.5,67.94,0,0,9.0,25.0,13
Craig McDermott,43.0,3.91,61.19,0,0,14.0,58.0,6
Craig McMillan,506.0,21.08,65.98,0,2,75.0,719.0,30
Craig Spearman,191.0,31.83,92.58,0,2,78.0,191.0,32
Craig White,92.0,18.4,103.56,0,0,35.0,93.0,19
Craig Wishart,293.0,41.86,72.96,1,1,172.0,343.0,49
Craig Wright,5.0,2.5,16.66,0,0,4.0,28.0,14
Curtly Ambrose,48.0,4.8,48.42,0,0,15.0,89.0,9
Daan van Bunge,173.0,24.71,52.78,0,1,62.0,294.0,42
Dale Steyn,45.0,11.25,54.34,0,0,20.0,73.0,19
Damien Fleming,12.0,3.0,51.51,0,0,8.0,17.0,5
Damien Martyn,352.0,35.2,60.95,0,4,88.0,440.0,44
Danie Keulder,132.0,22.0,40.34,0,1,52.0,220.0,37
