Player,No. of Wickets,Bowling Average,Average ECON,Average Strike Rate,Total Five Wicket Hauls,Average Balls,Total Overs
Dwaine Pretorius,5,7.28,4.33,12.67,0,46.0,23.0
Dwayne Bravo,13,24.61,5.78,22.61,0,44.67,66.6
Dwayne Leverock,2,54.33,7.24,40.0,0,47.0,23.3
Dwayne Smith,5,10.33,4.76,13.33,0,30.0,30.0
Ed Rainsford,1,44.0,6.28,42.0,0,42.0,7.0
Eddie Hemmings,13,15.75,4.61,20.71,0,59.5,59.3
Eddo Brandes,16,14.72,5.14,16.62,0,48.44,129.1
Edgar Schiferli,4,17.08,5.53,20.0,0,49.0,49.0
Ehsan Adil,2,31.0,5.31,36.0,0,36.0,12.0
Ehsanul Hoque,2,17.0,3.4,30.0,0,60.0,10.0
Eknath Solkar,0,0.0,8.66,0.0,0,12.0,4.0
Eldine Baptiste,0,0.0,4.12,0.0,0,48.0,8.0
Elijah Otieno,5,25.08,6.95,26.5,0,41.5,41.3
Elton Chigumbura,7,10.22,7.08,11.47,0,26.2,43.0
Enamul Haque,3,10.75,5.5,14.75,0,35.0,23.2
Eric Gouka,1,16.0,13.7,6.0,0,11.0,3.4
Eric Upashantha,1,14.33,5.68,20.0,0,56.0,28.0
Ewen Chatfield,14,22.54,4.29,38.38,0,60.69,131.3
Fabian Allen,1,14.67,6.45,16.0,0,42.0,21.0
Faf du Plessis,1,5.5,5.92,4.5,0,22.5,15.0
Fahad Alhashmi,0,0.0,6.13,0.0,0,44.0,7.2
Fanie de Villiers,2,13.5,3.85,21.0,0,42.0,7.0
Farhaan Behardien,0,0.0,5.75,0.0,0,22.0,11.0
Farveez Maharoof,9,6.33,4.65,11.25,0,44.0,44.0
Fazalhaq Farooqi,6,12.92,5.91,14.5,0,40.0,40.0
Feiko Kloppenburg,7,14.1,5.45,21.0,0,46.0,38.2
Flavian Aponso,2,23.4,6.51,24.0,0,48.4,40.2
Floris Jansen,1,20.0,8.36,21.0,0,27.0,9.0
Frasat Ali,0,0.0,4.27,0.0,0,48.0,24.0
Gary Brent,5,21.34,5.4,25.0,0,60.0,20.0
Gary Cosier,5,8.83,3.27,15.33,0,54.67,27.2
Gary Gilmour,6,2.33,1.16,12.0,1,72.0,12.0
Gary Kirsten,0,0.0,3.0,0.0,0,18.0,3.0
Gary Troup,4,28.67,3.25,54.0,0,64.0,32.0
Gavin Hamilton,3,10.4,6.62,13.0,0,42.8,35.0
Gavin Larsen,18,13.03,3.65,20.53,0,53.68,170.0
Geoff Allott,20,18.03,3.71,29.7,0,58.44,87.4
Geoff Arnold,3,23.33,2.29,59.33,0,59.33,29.4
Geoff Boycott,5,7.7,3.46,17.4,0,32.4,27.0
Geoff Dymock,2,15.0,2.06,40.0,0,62.0,31.0
Geoff Lawson,5,18.67,3.6,28.5,0,57.0,38.0
Geoff Miller,0,0.0,0.5,0.0,0,12.0,2.0
George Codrington,1,70.0,7.0,60.0,0,60.0,10.0
George Dockrell,12,22.31,5.38,26.67,0,47.33,94.4
Gerald Coetzee,20,23.5,6.44,22.06,0,47.62,63.3
Gerrie Snyman,6,20.7,5.87,20.8,0,57.6,48.0
Gladstone Small,11,18.81,4.54,27.69,0,47.54,103.0
Glenn Maxwell,12,13.15,5.76,15.0,0,38.88,155.3
Glenn McGrath,71,19.9,3.93,29.28,2,50.13,324.7
Glenn Phillips,6,3.38,5.71,4.1,0,24.0,40.0
Glenn Rogers,2,33.0,6.34,30.67,0,36.67,18.2
Glenroy Sealy,0,0.0,3.5,0.0,0,36.0,6.0
Graeme Cremer,6,10.89,4.65,16.55,0,46.33,46.2
Graeme Hick,5,11.21,6.08,10.86,0,32.0,37.2
Graeme Labrooy,1,68.0,6.8,60.0,0,60.0,10.0
Graeme Porter,3,13.25,1.91,45.0,0,54.0,18.0
Graeme Smith,4,8.12,6.52,8.62,0,19.5,26.0
Graeme Swann,12,22.02,4.6,30.57,0,58.29,68.0
Graham Dilley,7,11.21,3.71,16.75,0,66.0,66.0
Graham Gooch,1,6.0,4.5,6.86,0,19.71,23.0
Graham Thorpe,0,0.0,6.58,0.0,0,24.0,8.0
Graham Yallop,3,13.33,5.1,19.0,0,44.0,22.0
Grant Elliott,2,2.7,8.7,1.2,0,9.6,8.0
Grant Flower,4,4.08,4.69,8.38,0,29.62,64.1
Greg Chappell,0,0.0,5.05,0.0,0,22.0,11.0
Greg Lamb,4,5.0,4.57,9.0,0,42.0,35.0
Gulbadin Naib,10,19.02,6.43,19.7,0,44.8,74.4
Gus Atkinson,4,17.5,6.04,17.0,0,48.0,24.0
Guy Whittall,11,9.76,5.32,11.94,0,26.5,79.3
Hamid Hassan,9,19.77,4.86,21.82,0,42.0,77.0
Hamilton Masakadza,1,6.5,6.55,6.33,0,16.33,16.2
Hamish Bennett,6,8.88,5.17,7.12,0,36.25,24.1
Hansie Cronje,8,4.84,4.52,5.53,0,23.37,74.0
Harbhajan Singh,20,17.01,4.25,24.3,0,57.7,192.2
Hardik Pandya,15,20.54,6.75,21.62,0,44.08,95.3
Haris Rauf,16,25.48,6.77,22.0,0,52.67,79.0
Haris Sohail,3,10.2,5.91,9.0,0,25.2,21.0
Harvir Baidwan,13,25.7,5.6,29.64,0,55.0,54.6
Hasan Ali,11,34.52,6.96,30.6,0,50.4,84.0
Hasan Mahmud,3,49.25,9.64,33.0,0,42.0,14.0
Hashan Tillakaratne,0,0.0,4.0,0.0,0,6.0,1.0
Hasibul Hossain,3,11.5,4.14,21.0,0,43.5,29.0
Heath Streak,22,13.75,4.64,19.1,0,50.0,175.0
Hedley Howarth,5,8.42,3.71,15.0,0,60.0,40.0
Hendy Bryan,3,22.25,4.02,37.0,0,46.0,15.2
Henk-Jan Mol,2,21.0,7.05,20.0,0,26.0,13.0
Henry Olonga,9,15.59,5.76,15.44,0,28.89,43.2
Henry Osinde,6,12.07,5.81,16.57,0,38.86,44.8
Hiral Patel,0,0.0,19.0,0.0,0,6.0,1.0
Hiren Varaiya,1,6.33,4.7,20.0,0,46.0,23.0
Iain Butchart,12,14.66,5.98,15.12,0,43.88,117.0
Iain Wardlaw,6,42.2,7.56,32.93,0,52.2,42.9
Ian Austin,3,26.75,3.5,42.5,0,56.0,18.4
Ian Bishop,3,7.92,4.31,15.0,0,49.0,49.0
Ian Blackwell,2,18.5,3.7,30.0,0,60.0,10.0
Ian Botham,30,19.91,3.47,35.27,0,60.55,222.0
Ian Bradshaw,2,31.33,5.67,38.0,0,58.0,29.0
Ian Chappell,2,3.5,3.25,6.0,0,21.0,7.0
Ian Harvey,8,5.64,4.36,9.82,0,36.0,35.6
Ian Stanger,0,0.0,6.17,0.0,0,27.0,9.0
Iftikhar Ahmed,4,19.12,5.65,21.0,0,36.0,48.0
Iftikhar Anjum,5,14.59,3.65,25.0,0,60.0,20.0
Ijaz Ahmed,1,3.5,4.49,6.0,0,30.0,40.0
Ijaz Faqih,0,0.0,3.85,0.0,0,44.4,37.0
Imad Wasim,2,4.8,4.9,6.0,0,46.8,39.0
Imran Khan,34,18.58,3.93,30.27,0,53.53,168.9
Imran Tahir,40,17.21,4.37,22.46,1,54.81,191.1
Iqbal Sikander,3,30.25,4.18,40.5,0,52.5,35.0
Irving Romaine,0,0.0,9.66,0.0,0,18.0,3.0
Ish Sodhi,0,0.0,8.41,0.0,0,30.0,10.0
Ishwar Maraj,0,0.0,4.88,0.0,0,27.0,4.3
Isuru Udana,6,18.14,5.89,21.0,0,44.14,51.3
Jacob Oram,36,17.11,4.14,23.14,0,47.57,181.8
Jacob-Jan Esmeijer,0,0.0,4.88,0.0,0,46.5,31.0
Jacques Kallis,21,8.34,4.34,12.0,0,39.56,211.0
James Anderson,27,17.8,5.19,21.24,0,50.16,208.6
James Brinkley,2,24.67,4.26,40.0,0,56.0,28.0
James Faulkner,10,13.11,4.47,16.83,0,41.83,41.5
James Franklin,11,11.09,5.38,14.0,0,36.62,79.2
James Neesham,17,21.75,7.71,18.17,1,34.5,68.6
James Ngoche,2,31.33,5.47,40.0,0,56.0,28.0
James Tredwell,5,12.33,4.9,19.0,0,46.0,23.0
Jamie Dalrymple,0,0.0,6.86,0.0,0,20.0,10.0
Jan-Berrie Burger,3,12.8,7.03,10.8,0,19.2,16.0
Janeiro Tucker,0,0.0,5.7,0.0,0,44.0,22.0
Jason Behrendorff,9,27.66,5.18,28.2,1,53.0,44.1
Jason Gillespie,8,15.21,3.17,26.0,0,45.0,30.0
Jason Holder,17,15.85,5.87,16.2,0,47.67,119.1
Jason Krejza,5,11.43,4.48,16.29,0,53.0,61.5
Jasprit Bumrah,38,19.69,4.08,28.33,0,52.75,175.5
Javagal Srinath,44,17.74,4.36,25.6,0,51.52,282.8
